GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Store,default,ComputerStore,47,32,8,0,10,10,6,5,2,5
Store,default,Platform,9,70,0,0,0,6,2,3,2,3
Store,default,ComputerGame,0,56,0,0,0,11,0,3,0,3
Store,default,ComputerGameParameters,8,156,8,6,1,46,7,17,0,17
Store,default,Genre,9,48,0,0,0,6,2,3,2,3
